PDB ID,UniProt Accession,EC ID,Enzyme Name
2jhf,P00327,1.1.1.1,alcohol dehydrogenase
1sby,P10807,1.1.1.1,alcohol dehydrogenase
1jvb,P39462,1.1.1.1,alcohol dehydrogenase
1y1p,Q9UUN9,1.1.1.2,alcohol dehydrogenase (NADP(+))
1uuf,P75691,1.1.1.2,alcohol dehydrogenase (NADP(+))
4qgs,Q46856,1.1.1.2,alcohol dehydrogenase (NADP(+))
1ebf,P31116,1.1.1.3,homoserine dehydrogenase
1pl8,Q00796,1.1.1.4,"(R,R)-butanediol dehydrogenase"
1ta9,O13702,1.1.1.6,glycerol dehydrogenase
1kq3,Q9WYQ4,1.1.1.6,glycerol dehydrogenase
6e8y,P21695,1.1.1.8,glycerol-3-phosphate dehydrogenase (NAD(+))
1evy,P90551,1.1.1.8,glycerol-3-phosphate dehydrogenase (NAD(+))
1pl8,Q00796,1.1.1.9,D-xylulose reductase
3m6i,Q7SI09,1.1.1.12,L-arabinitol 4-dehydrogenase
1pl8,Q00796,1.1.1.14,L-iditol 2-dehydrogenase
5jnm,A7X522,1.1.1.17,mannitol-1-phosphate 5-dehydrogenase
3ezy,Q9WYP5,1.1.1.18,inositol 2-dehydrogenase
4hkt,O68965,1.1.1.18,inositol 2-dehydrogenase
1us0,P15121,1.1.1.21,aldose reductase
2o3j,Q19905,1.1.1.22,UDP-glucose 6-dehydrogenase
4g09,Q8G2R2,1.1.1.23,histidinol dehydrogenase
1kae,P06988,1.1.1.23,histidinol dehydrogenase
4gic,Q606Q2,1.1.1.23,histidinol dehydrogenase
3jyo,Q9X5C9,1.1.1.24,quinate/shikimate dehydrogenase (NAD(+))
5swu,B0XRM8,1.1.1.25,shikimate dehydrogenase (NADP(+))
1sg6,P07547,1.1.1.25,shikimate dehydrogenase (NADP(+))
5swv,Q9P7R0,1.1.1.25,shikimate dehydrogenase (NADP(+))
2hk9,O67049,1.1.1.25,shikimate dehydrogenase (NADP(+))
1nyt,P15770,1.1.1.25,shikimate dehydrogenase (NADP(+))
2egg,Q5KWX7,1.1.1.25,shikimate dehydrogenase (NADP(+))
3phh,P56119,1.1.1.25,shikimate dehydrogenase (NADP(+))
3tnl,Q8Y9N5,1.1.1.25,shikimate dehydrogenase (NADP(+))
3u62,Q9WYI1,1.1.1.25,shikimate dehydrogenase (NADP(+))
2o7s,Q9SQT8,1.1.1.25,shikimate dehydrogenase (NADP(+))
1npy,P44774,1.1.1.25,shikimate dehydrogenase (NADP(+))
5aov,Q8U3Y2,1.1.1.26,glyoxylate reductase
5nqb,P13491,1.1.1.27,L-lactate dehydrogenase
4plz,Q27743,1.1.1.27,L-lactate dehydrogenase
3vpg,P06150,1.1.1.27,L-lactate dehydrogenase
1j4a,P26297,1.1.1.28,D-lactate dehydrogenase
1gdh,P36234,1.1.1.29,glycerate dehydrogenase
5y8l,P9WNY5,1.1.1.31,3-hydroxyisobutyrate dehydrogenase
2r4f,P04035,1.1.1.34,hydroxymethylglutaryl-CoA reductase (NADPH)
1zcj,P07896,1.1.1.35,3-hydroxyacyl-CoA dehydrogenase
1wdk,P28793,1.1.1.35,3-hydroxyacyl-CoA dehydrogenase
2o23,Q99714,1.1.1.35,3-hydroxyacyl-CoA dehydrogenase
4j0e,P34439,1.1.1.35,3-hydroxyacyl-CoA dehydrogenase
3rqs,Q16836,1.1.1.35,3-hydroxyacyl-CoA dehydrogenase
2wtb,Q9ZPI5,1.1.1.35,3-hydroxyacyl-CoA dehydrogenase
1uzm,P9WGT3,1.1.1.36,acetoacetyl-CoA reductase
4n5m,P14697,1.1.1.36,acetoacetyl-CoA reductase
5nue,P93819,1.1.1.37,malate dehydrogenase
5zi2,P32419,1.1.1.37,malate dehydrogenase
2x0j,O08349,1.1.1.37,malate dehydrogenase
3tl2,Q6HSF4,1.1.1.37,malate dehydrogenase
3hhp,P61889,1.1.1.37,malate dehydrogenase
4bgu,Q9P9L2,1.1.1.37,malate dehydrogenase
1v9n,O59028,1.1.1.37,malate dehydrogenase
5nzo,O43175,1.1.1.37,malate dehydrogenase
1o0s,P27443,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating)
1qr6,P23368,1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating)
4ja8,P48735,1.1.1.42,isocitrate dehydrogenase (NADP(+))
1hqs,P39126,1.1.1.42,isocitrate dehydrogenase (NADP(+))
2d1c,P33197,1.1.1.42,isocitrate dehydrogenase (NADP(+))
3fwn,P00350,1.1.1.44,"phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)"
4gwg,P52209,1.1.1.44,"phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)"
2pgd,P00349,1.1.1.44,"phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)"
1pgj,P31072,1.1.1.44,"phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)"
3ado,P14755,1.1.1.45,L-gulonate 3-dehydrogenase
2b5w,Q977U7,1.1.1.47,glucose 1-dehydrogenase [NAD(P)(+)]
2cdc,O93715,1.1.1.47,glucose 1-dehydrogenase [NAD(P)(+)]
6jnj,Q53TZ2,1.1.1.48,D-galactose 1-dehydrogenase
2cdc,O93715,1.1.1.48,D-galactose 1-dehydrogenase
6e08,P11413,1.1.1.49,glucose-6-phosphate dehydrogenase (NADP(+))
1hxh,P19871,1.1.1.51,3(or 17)beta-hydroxysteroid dehydrogenase
1jtv,P14061,1.1.1.51,3(or 17)beta-hydroxysteroid dehydrogenase
2o23,Q99714,1.1.1.53,3alpha(or 20beta)-hydroxysteroid dehydrogenase
1us0,P15121,1.1.1.54,allyl-alcohol dehydrogenase
1pl8,Q00796,1.1.1.56,ribitol 2-dehydrogenase
1yb1,Q8NBQ5,1.1.1.62,17beta-estradiol 17-dehydrogenase
1jtv,P14061,1.1.1.62,17beta-estradiol 17-dehydrogenase
1xg5,Q6UWP2,1.1.1.62,17beta-estradiol 17-dehydrogenase
2o23,Q99714,1.1.1.62,17beta-estradiol 17-dehydrogenase
1wma,P16152,1.1.1.71,alcohol dehydrogenase [NAD(P)(+)]
3wye,Q9ZNN8,1.1.1.76,"(S,S)-butanediol dehydrogenase"
5br4,P0A9S1,1.1.1.77,lactaldehyde reductase
2gcg,Q9UBQ7,1.1.1.79,glyoxylate reductase (NADP(+))
3fpc,P35630,1.1.1.80,isopropanol dehydrogenase (NADP(+))
3fpc,P14941,1.1.1.80,isopropanol dehydrogenase (NADP(+))
2gcg,Q9UBQ7,1.1.1.81,hydroxypyruvate reductase
1w0d,P9WKK9,1.1.1.85,3-isopropylmalate dehydrogenase
3fr7,Q65XK0,1.1.1.86,ketol-acid reductoisomerase (NADP(+))
6jcv,Q97YJ9,1.1.1.86,ketol-acid reductoisomerase (NADP(+))
3ulk,P05793,1.1.1.86,ketol-acid reductoisomerase (NADP(+))
4ypo,P9WKJ7,1.1.1.86,ketol-acid reductoisomerase (NADP(+))
3ty4,O14104,1.1.1.87,homoisocitrate dehydrogenase
4i6y,P13702,1.1.1.88,hydroxymethylglutaryl-CoA reductase
1txg,O29390,1.1.1.94,glycerol-3-phosphate dehydrogenase [NAD(P)(+)]
3k96,Q83BJ0,1.1.1.94,glycerol-3-phosphate dehydrogenase [NAD(P)(+)]
1sc6,P0A9T0,1.1.1.95,phosphoglycerate dehydrogenase
5nzo,O43175,1.1.1.95,phosphoglycerate dehydrogenase
1ygy,P9WNX3,1.1.1.95,phosphoglycerate dehydrogenase
4fda,P35731,1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase
2was,P19097,1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase
6nna,P49327,1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase
2png,P12785,1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase
1uzm,P9WGT3,1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase
2b4q,Q9RPT1,1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase
4yrb,Q8K3F7,1.1.1.103,L-threonine 3-dehydrogenase
2dfv,O58389,1.1.1.103,L-threonine 3-dehydrogenase
3rwb,Q988B7,1.1.1.107,pyridoxal 4-dehydrogenase
4ijr,P38115,1.1.1.117,D-arabinose 1-dehydrogenase [NAD(P)(+)]
6jnj,Q53TZ2,1.1.1.120,galactose 1-dehydrogenase (NADP(+))
2cdc,O93715,1.1.1.120,galactose 1-dehydrogenase (NADP(+))
1nxu,P37672,1.1.1.130,3-dehydro-L-gulonate 2-dehydrogenase
1mv8,P11759,1.1.1.132,GDP-mannose 6-dehydrogenase
4qqr,Q9LQ04,1.1.1.133,dTDP-4-dehydrorhamnose reductase
1n2s,P26392,1.1.1.133,dTDP-4-dehydrorhamnose reductase
1h5q,O93868,1.1.1.138,mannitol 2-dehydrogenase (NADP(+))
2gdz,P15428,1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD(+))
1xu9,P28845,1.1.1.146,11beta-hydroxysteroid dehydrogenase
1oaa,Q64105,1.1.1.153,"sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)"
2o23,Q99714,1.1.1.159,7alpha-hydroxysteroid dehydrogenase
1fmc,P0AET8,1.1.1.159,7alpha-hydroxysteroid dehydrogenase
3ego,O34661,1.1.1.169,2-dehydropantoate 2-reductase
1ks9,P0A9J4,1.1.1.169,2-dehydropantoate 2-reductase
4ol9,P9WIL1,1.1.1.169,2-dehydropantoate 2-reductase
5ayv,Q5JGC2,1.1.1.169,2-dehydropantoate 2-reductase
2o23,Q99714,1.1.1.178,3-hydroxy-2-methylbutyryl-CoA dehydrogenase
3ohs,Q9TQS6,1.1.1.179,"D-xylose 1-dehydrogenase (NADP(+), D-xylono-1,5-lactone-forming)"
1wma,P16152,1.1.1.184,carbonyl reductase (NADPH)
1cyd,P08074,1.1.1.184,carbonyl reductase (NADPH)
2zat,Q8WNV7,1.1.1.184,carbonyl reductase (NADPH)
1wma,P16152,1.1.1.189,prostaglandin-E2 9-reductase
2b3z,P17618,1.1.1.193,5-amino-6-(5-phosphoribosylamino)uracil reductase
1wma,P16152,1.1.1.196,15-hydroxyprostaglandin-D dehydrogenase (NADP(+))
1wma,P16152,1.1.1.197,15-hydroxyprostaglandin dehydrogenase (NADP(+))
1xu9,P28845,1.1.1.201,7beta-hydroxysteroid dehydrogenase (NADP(+))
5fyd,A4ECA9,1.1.1.201,7beta-hydroxysteroid dehydrogenase (NADP(+))
3rfx,Q7CRQ0,1.1.1.203,uronate dehydrogenase
1jcn,P20839,1.1.1.205,IMP dehydrogenase
1jr1,P12269,1.1.1.205,IMP dehydrogenase
1me8,P50097,1.1.1.205,IMP dehydrogenase
2gdz,P15428,1.1.1.232,15-hydroxyicosatetraenoate dehydrogenase
4cr6,P22441,1.1.1.233,N-acylmannosamine 1-dehydrogenase
2g8y,P30178,1.1.1.237,hydroxyphenylpyruvate reductase
3ba1,Q65CJ7,1.1.1.237,hydroxyphenylpyruvate reductase
2o23,Q99714,1.1.1.239,3alpha-(17beta)-hydroxysteroid dehydrogenase (NAD(+))
4uej,P0A9S3,1.1.1.251,galactitol-1-phosphate 5-dehydrogenase
4rfl,Q58122,1.1.1.261,sn-glycerol-1-phosphate dehydrogenase
3tsn,Q9PN58,1.1.1.262,4-hydroxythreonine-4-phosphate dehydrogenase
3lxy,P58719,1.1.1.262,4-hydroxythreonine-4-phosphate dehydrogenase
4zn6,B7H1U5,1.1.1.267,1-deoxy-D-xylulose-5-phosphate reductoisomerase
1q0q,P45568,1.1.1.267,1-deoxy-D-xylulose-5-phosphate reductoisomerase
5jaz,Q8IKG4,1.1.1.267,1-deoxy-D-xylulose-5-phosphate reductoisomerase
3a06,Q9WZZ1,1.1.1.267,1-deoxy-D-xylulose-5-phosphate reductoisomerase
1r0k,Q9X5F2,1.1.1.267,1-deoxy-D-xylulose-5-phosphate reductoisomerase
4gh5,A7IQH5,1.1.1.269,2-(S)-hydroxypropyl-CoM dehydrogenase
1xg5,Q6UWP2,1.1.1.270,3beta-hydroxysteroid 3-dehydrogenase
1e6u,P32055,1.1.1.271,GDP-L-fucose synthase
4e5y,Q13630,1.1.1.271,GDP-L-fucose synthase
2pk3,Q6T1X6,1.1.1.281,GDP-4-dehydro-6-deoxy-D-mannose reductase
2o4c,Q9I3W9,1.1.1.290,4-phosphoerythronate dehydrogenase
3oet,P60802,1.1.1.290,4-phosphoerythronate dehydrogenase
5dt9,Q9KQ92,1.1.1.290,4-phosphoerythronate dehydrogenase
3cky,Q0QLF5,1.1.1.291,2-hydroxymethylglutarate dehydrogenase
4koa,Q92KZ3,1.1.1.292,"1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)"
1us0,P15121,1.1.1.300,NADP-retinol dehydrogenase
2zat,Q8WNV7,1.1.1.300,NADP-retinol dehydrogenase
4ha7,P33312,1.1.1.302,"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase"
3wye,Q9ZNN8,1.1.1.304,diacetyl reductase [(S)-acetoin forming]
3wye,Q48436,1.1.1.304,diacetyl reductase [(S)-acetoin forming]
4wkg,P77398,1.1.1.305,UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)
1mi3,O74237,1.1.1.307,D-xylose reductase [NAD(P)H]
2ew8,Q5P5I4,1.1.1.311,(S)-1-phenylethanol dehydrogenase
3v0s,Q3L181,1.1.1.317,perakine reductase
2r6j,Q15GI4,1.1.1.318,eugenol synthase
2bd0,Q8KES3,1.1.1.325,"sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)"
3oa2,G3XD23,1.1.1.335,UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
4r16,O59284,1.1.1.336,UDP-N-acetyl-D-mannosamine dehydrogenase
2x06,Q58820,1.1.1.337,L-2-hydroxycarboxylate dehydrogenase (NAD(+))
2p4h,Q40316,1.1.1.348,(3R)-2'-hydroxyisoflavanone reductase
4h8a,P77555,1.1.1.350,ureidoglycolate dehydrogenase (NAD(+))
3vxg,Q76L36,1.1.1.358,2-dehydropantolactone reductase
2cdc,O93715,1.1.1.359,aldose 1-dehydrogenase [NAD(P)(+)]
1dpg,P11411,1.1.1.363,glucose-6-phosphate dehydrogenase [NAD(P)(+)]
1us0,P15121,1.1.1.372,D/L-glyceraldehyde reductase
1hye,Q60176,1.1.1.375,L-2-hydroxycarboxylate dehydrogenase [NAD(P)(+)]
6jnj,Q53TZ2,1.1.1.376,L-arabinose 1-dehydrogenase [NAD(P)(+)]
3rc2,B3TMR8,1.1.1.384,"dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase"
5itw,P39640,1.1.1.385,dihydroanticapsin 7-dehydrogenase
4is2,P19337,1.1.1.395,3alpha-hydroxybile acid CoA 3-dehydrogenase
1sc6,P0A9T0,1.1.1.399,2-oxoglutarate reductase
5nzo,O43175,1.1.1.399,2-oxoglutarate reductase
1ygy,P9WNX3,1.1.1.399,2-oxoglutarate reductase
5t57,F8GV06,1.1.1.421,D-apionate oxidoisomerase
2h6e,Q97YM2,1.1.1.427,D-arabinose 1-dehydrogenase (NADP(+))
4gkb,A0A0H3KNE7,1.1.1.435,L-fucose dehydrogenase
1w6s,P16027,1.1.2.7,methanol dehydrogenase (cytochrome c)
2ad6,P38539,1.1.2.7,methanol dehydrogenase (cytochrome c)
1w6s,P14775,1.1.2.7,methanol dehydrogenase (cytochrome c)
2ad6,P38540,1.1.2.7,methanol dehydrogenase (cytochrome c)
3qvp,P13006,1.1.3.4,glucose oxidase
3rja,I1SB12,1.1.3.5,hexose oxidase
4rek,P12676,1.1.3.6,cholesterol oxidase
1k3i,P0CS93,1.1.3.9,galactose oxidase
1p4c,P05414,1.1.3.15,(S)-2-hydroxy-acid oxidase
3sgz,Q07523,1.1.3.15,(S)-2-hydroxy-acid oxidase
2jbv,Q7X2H8,1.1.3.17,choline oxidase
4x9m,P75063,1.1.3.21,glycerol-3-phosphate oxidase
2vfr,Q9ZBU1,1.1.3.41,alditol oxidase
2ipi,Q0PCD7,1.1.3.45,aclacinomycin-N oxidase
4udq,E4QP00,1.1.3.47,5-(hydroxymethyl)furfural oxidase
5k8c,Q8EEB0,1.1.3.48,3-deoxy-alpha-D-manno-octulosonate 8-oxidase
1cru,P13650,1.1.5.2,"quinoprotein glucose dehydrogenase (PQQ, quinone)"
2r4j,P13035,1.1.5.3,glycerol-3-phosphate dehydrogenase
1f0x,P06149,1.1.5.12,D-lactate dehydrogenase (quinone)
1rm6,O33819,1.1.7.1,4-hydroxybenzoyl-CoA reductase
1rm6,O33820,1.1.7.1,4-hydroxybenzoyl-CoA reductase
1rm6,O33818,1.1.7.1,4-hydroxybenzoyl-CoA reductase
1yiq,Q4W6G0,1.1.9.1,alcohol dehydrogenase (azurin)
1kb0,Q46444,1.1.9.1,alcohol dehydrogenase (azurin)
1kv9,Q8GR64,1.1.9.1,alcohol dehydrogenase (azurin)
5lxe,Q0RVH7,1.1.98.2,glucose-6-phosphate dehydrogenase (coenzyme-F420)
1hk8,P07071,1.1.98.6,ribonucleoside-triphosphate reductase (formate)
1kdg,Q01738,1.1.99.18,cellobiose dehydrogenase (acceptor)
4h7u,Q3L245,1.1.99.29,pyranose dehydrogenase (acceptor)
1p4c,P20932,1.1.99.31,(S)-mandelate dehydrogenase
4m7t,Q8G907,1.1.99.38,2-deoxy-scyllo-inosamine dehydrogenase (AdoMet-dependent)
2j6l,P49419,1.2.1.3,aldehyde dehydrogenase (NAD(+))
1o04,P05091,1.2.1.3,aldehyde dehydrogenase (NAD(+))
3ax2,P11884,1.2.1.3,aldehyde dehydrogenase (NAD(+))
1ez0,Q56694,1.2.1.4,aldehyde dehydrogenase (NADP(+))
3sza,P30838,1.2.1.5,aldehyde dehydrogenase [NAD(P)(+)]
5ucd,Q84DC3,1.2.1.7,benzaldehyde dehydrogenase (NADP(+))
4i9b,Q56R04,1.2.1.8,betaine-aldehyde dehydrogenase
2j6l,P49419,1.2.1.8,betaine-aldehyde dehydrogenase
4cbb,Q9HTJ1,1.2.1.8,betaine-aldehyde dehydrogenase
1euh,Q59931,1.2.1.9,glyceraldehyde-3-phosphate dehydrogenase (NADP(+))
1t4b,P0A9Q9,1.2.1.11,aspartate-semialdehyde dehydrogenase
3tz6,P9WNX5,1.2.1.11,aspartate-semialdehyde dehydrogenase
3lvf,Q6GIL8,1.2.1.12,glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
3ids,P22513,1.2.1.12,glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
2g82,P00361,1.2.1.12,glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
4i9b,Q56R04,1.2.1.19,aminobutyraldehyde dehydrogenase
1wnd,P77674,1.2.1.19,aminobutyraldehyde dehydrogenase
3pqa,Q58806,1.2.1.22,lactaldehyde dehydrogenase
2w8n,P51649,1.2.1.24,succinate-semialdehyde dehydrogenase (NAD(+))
5ucd,Q84DC3,1.2.1.28,benzaldehyde dehydrogenase (NAD(+))
2j6l,P49419,1.2.1.31,L-aminoadipate-semialdehyde dehydrogenase
4ab7,Q01217,1.2.1.38,N-acetyl-gamma-glutamyl-phosphate reductase
2nqt,P9WPZ9,1.2.1.38,N-acetyl-gamma-glutamyl-phosphate reductase
3dr3,P59310,1.2.1.38,N-acetyl-gamma-glutamyl-phosphate reductase
1vkn,Q9X2A2,1.2.1.38,N-acetyl-gamma-glutamyl-phosphate reductase
2h5g,P54886,1.2.1.41,glutamate-5-semialdehyde dehydrogenase
1o20,Q9WYC9,1.2.1.41,glutamate-5-semialdehyde dehydrogenase
4r1s,A0A059TC02,1.2.1.44,cinnamoyl-CoA reductase
1kol,P46154,1.2.1.46,formaldehyde dehydrogenase
4i9b,Q56R04,1.2.1.47,4-trimethylammoniobutyraldehyde dehydrogenase
4i9b,Q56R04,1.2.1.54,gamma-guanidinobutyraldehyde dehydrogenase
2yyy,Q58546,1.2.1.59,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)
5yjl,P42804,1.2.1.70,glutamyl-tRNA reductase
1gpj,Q9UXR8,1.2.1.70,glutamyl-tRNA reductase
3oj0,Q97B68,1.2.1.70,glutamyl-tRNA reductase
3ju8,O50174,1.2.1.71,succinylglutamate-semialdehyde dehydrogenase
2x5k,P0A9B6,1.2.1.72,erythrose-4-phosphate dehydrogenase
4dpl,Q96YK1,1.2.1.75,malonyl CoA reductase (malonate semialdehyde-forming)
4e3x,Q8CHT0,1.2.1.88,L-glutamate gamma-semialdehyde dehydrogenase
4o8a,P09546,1.2.1.88,L-glutamate gamma-semialdehyde dehydrogenase
1uxt,O57693,1.2.1.90,glyceraldehyde-3-phosphate dehydrogenase [NAD(P)(+)]
4om8,Q988C8,1.2.1.100,5-formyl-3-hydroxy-2-methylpyridine 4-carboxylate 5-dehydrogenase
5ein,O50146,1.2.1.103,[amino-group carrier protein]-6-phospho-L-2-aminoadipate reductase
1fi2,P45850,1.2.3.4,oxalate oxidase
2qtc,P0AFG8,1.2.4.1,pyruvate dehydrogenase (acetyl-transferring)
1w85,P21873,1.2.4.1,pyruvate dehydrogenase (acetyl-transferring)
3exi,P08559,1.2.4.1,pyruvate dehydrogenase (acetyl-transferring)
1w85,P21874,1.2.4.1,pyruvate dehydrogenase (acetyl-transferring)
3exi,P11177,1.2.4.1,pyruvate dehydrogenase (acetyl-transferring)
6i2s,A0R2B1,1.2.4.2,oxoglutarate dehydrogenase (succinyl-transferring)
2bfd,P12694,1.2.4.4,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)
1qs0,P09060,1.2.4.4,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)
1um9,Q5SLR4,1.2.4.4,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)
2bfd,P21953,1.2.4.4,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)
1qs0,P09061,1.2.4.4,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)
1um9,Q5SLR3,1.2.4.4,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)
3eya,P07003,1.2.5.1,pyruvate dehydrogenase (quinone)
1n62,P19919,1.2.5.3,aerobic carbon monoxide dehydrogenase
1n62,P19920,1.2.5.3,aerobic carbon monoxide dehydrogenase
1n62,P19921,1.2.5.3,aerobic carbon monoxide dehydrogenase
2c42,P94692,1.2.7.1,pyruvate synthase
2raa,O05650,1.2.7.1,pyruvate synthase
